Time,target_send_rate,increase_size_bytes,total_file_size_bytes,total_dir_size_bytes
361.0000,65.3300,985380.5382,175935204.0030,175935204.0030
362.0000,62.1900,934689.2076,176869893.2106,176869893.2106
363.0000,52.8200,783422.4012,177653315.6118,177653315.6118
364.0000,65.8000,992968.0944,178646283.7062,178646283.7062
365.0000,68.8000,1041399.3024,179687683.0086,179687683.0086
366.0000,23.6000,311702.4360,179999385.4446,179999385.4446
367.0000,55.1900,821683.0554,180821068.5000,180821068.5000
368.0000,42.7600,621016.4172,181442084.9172,181442084.9172
369.0000,57.1500,853324.7784,182295409.6956,182295409.6956
370.0000,71.6100,1086763.2006,183382172.8962,183382172.8962
371.0000,35.2300,499454.0856,183881626.9818,183881626.9818
372.0000,44.8100,654111.0762,184535738.0580,184535738.0580
373.0000,38.6700,554988.5370,185090726.5950,185090726.5950
374.0000,20.9900,269567.2854,185360293.8804,185360293.8804
375.0000,66.8100,1009273.2678,186369567.1482,186369567.1482
376.0000,37.8000,540943.4868,186910510.6350,186910510.6350
377.0000,65.1400,982313.2284,187892823.8634,187892823.8634
378.0000,57.4700,858490.7736,188751314.6370,188751314.6370
379.0000,31.8800,445372.5702,189196687.2072,189196687.2072
380.0000,41.9000,607132.8042,189803820.0114,189803820.0114
381.0000,63.0200,948088.5084,190751908.5198,190751908.5198
382.0000,48.6500,716103.0222,191468011.5420,191468011.5420
383.0000,55.2900,823297.4292,192291308.9712,192291308.9712
384.0000,47.1000,691080.2316,192982389.2028,192982389.2028
385.0000,48.6000,715295.8356,193697685.0384,193697685.0384
386.0000,29.2800,403398.8562,194101083.8946,194101083.8946
387.0000,54.0100,802633.4472,194903717.3418,194903717.3418
388.0000,50.7700,750327.7428,195654045.0846,195654045.0846
389.0000,20.4900,261495.4170,195915540.5016,195915540.5016
390.0000,53.2700,790687.0824,196706227.5840,196706227.5840
391.0000,39.9200,575168.2074,197281395.7914,197281395.7914
392.0000,67.1000,1013954.9508,198295350.7422,198295350.7422
393.0000,27.0200,366914.0130,198662264.7552,198662264.7552
394.0000,50.4700,745484.6220,199407749.3772,199407749.3772
395.0000,44.8100,654111.0762,200061860.4534,200061860.4534
396.0000,59.7200,894814.1796,200956674.6330,200956674.6330
397.0000,45.0000,657178.3860,201613853.0190,201613853.0190
398.0000,12.3300,129762.5316,201743615.5506,201743615.5506
399.0000,79.2600,1210262.7804,202953878.3310,202953878.3310
400.0000,44.5900,650559.4542,203604437.7852,203604437.7852
401.0000,36.1100,513660.5730,204118098.3582,204118098.3582
402.0000,82.8200,1267734.4806,205385832.8388,205385832.8388
403.0000,64.9500,979245.9186,206365078.7574,206365078.7574
404.0000,58.9700,882706.3776,207247785.1350,207247785.1350
405.0000,56.4500,842024.1630,208089809.2980,208089809.2980
406.0000,48.9700,721269.0180,208811078.3160,208811078.3160
407.0000,23.8200,315254.0580,209126332.3740,209126332.3740
408.0000,49.2100,725143.5144,209851475.8884,209851475.8884
409.0000,46.9400,688497.2340,210539973.1224,210539973.1224
